SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
2471;1;0,000466616;0,004973906;0,003911498;;
2472;1;0,000141003;0,001503031;0,001181989;;
2473;1;-0,000183814;-0,001959375;-0,00154086;;
2474;1;-0,000508399;-0,005419298;-0,004261756;;
2475;1;-0,000831528;-0,008863699;-0,006970446;;
2476;1;-0,001146557;-0,012221763;-0,00961124;;
2477;1;-0,001459936;-0,015562237;-0,012238202;;
2478;1;-0,001772336;-0,01889227;-0,014856952;;
2479;1;-0,002087001;-0,022246449;-0,017494691;;
2480;1;-0,002400659;-0,025589896;-0,02012399;;
2481;1;-0,00272004;-0,02899435;-0,022801266;;
2482;1;-0,003037897;-0,032382562;-0,025465768;;
2483;1;-0,003359532;-0,035811042;-0,028161938;;
2484;1;-0,003681609;-0,039244228;-0,030861809;;
2485;1;-0,004001447;-0,042653549;-0,033542912;;
2486;1;-0,00432024;-0,04605173;-0,036215254;;
2487;1;-0,004636975;-0,049427977;-0,038870347;;
2488;1;-0,004957229;-0,05284174;-0,041554943;;
2489;1;-0,005275228;-0,056231458;-0,04422063;;
2490;1;-0,005598834;-0,059680947;-0,046933321;;
2491;1;-0,00592883;-0,063198549;-0,049699577;;
2492;1;-0,006255733;-0,066683182;-0,052439905;;
2493;1;-0,006584594;-0,070188684;-0,055196645;;
2494;1;-0,006910281;-0,073660357;-0,057926782;;
2495;1;-0,007241476;-0,077190739;-0,060703088;;
2496;1;-0,007568995;-0,080681936;-0,063448578;;
2497;1;-0,007898341;-0,084192616;-0,06620939;;
2498;1;-0,008223707;-0,087660862;-0,068936832;;
2499;1;-0,008551063;-0,091150325;-0,071680959;;
2500;1;-0,008876228;-0,094616435;-0,07440672;;
2501;1;-0,009196617;-0,09803163;-0,077092442;;
2502;1;-0,009512518;-0,101398979;-0,079740538;;
2503;1;-0,00981887;-0,104664554;-0,082308599;;
2504;1;-0,010055003;-0,107181618;-0,084288028;;
2505;1;-0,010288186;-0,109667235;-0,086242726;;
2506;1;-0,010557554;-0,112538575;-0,088500758;;
2507;1;-0,010831565;-0,115459408;-0,090797713;;
2508;1;-0,011100254;-0,118323509;-0,093050053;;
2509;1;-0,011367809;-0,121175512;-0,095292878;;
2510;1;-0,011630858;-0,123979492;-0,097497939;;
2511;1;-0,011907378;-0,12692707;-0,099815925;;
2512;1;-0,012178567;-0,129817821;-0,102089222;;
2513;1;-0,012447866;-0,132688423;-0,104346674;;
2514;1;-0,012716868;-0,135555853;-0,106601632;;
2515;1;-0,01298026;-0,138363489;-0,108809568;;
2516;1;-0,013236868;-0,141098812;-0,110960637;;
2517;1;-0,013487574;-0,143771222;-0,11306223;;
2518;1;-0,013726036;-0,146313111;-0,115061181;;
2519;1;-0,013958511;-0,148791188;-0,11700995;;
2520;1;-0,01417403;-0,151088518;-0,118816578;;
2521;1;-0,014372138;-0,153200258;-0,120477259;;
2522;1;-0,014564347;-0,155249117;-0,12208849;;
2523;1;-0,01473853;-0,15710582;-0,123548608;;
2524;1;-0,014907133;-0,158903051;-0,124961957;;
2525;1;-0,015061689;-0,160550544;-0,126257551;;
2526;1;-0,015210859;-0,162140627;-0,127507998;;
2527;1;-0,015348206;-0,163604682;-0,128659337;;
2528;1;-0,015480039;-0,165009962;-0,129764455;;
2529;1;-0,015598741;-0,166275263;-0,130759492;;
2530;1;-0,015702998;-0,167386598;-0,13163345;;
2531;1;-0,015802027;-0,168442199;-0,132463579;;
2532;1;-0,015892148;-0,169402853;-0,13321904;;
2533;1;-0,015976635;-0,170303436;-0,133927262;;
2534;1;-0,016046178;-0,171044736;-0,134510223;;
2535;1;-0,016110431;-0,171729643;-0,135048837;;
2536;1;-0,016164466;-0,172305627;-0,135501793;;
2537;1;-0,016207596;-0,172765375;-0,13586334;;
2538;1;-0,016245488;-0,173169287;-0,136180978;;
2539;1;-0,016273189;-0,173464568;-0,136413188;;
2540;1;-0,016295886;-0,173706503;-0,136603447;;
2541;1;-0,016311866;-0,173876851;-0,136737409;;
2542;1;-0,016322631;-0,173991593;-0,136827643;;
2543;1;-0,016322774;-0,173993123;-0,136828846;;
2544;1;-0,01631283;-0,173887121;-0,136745486;;
2545;1;-0,016297981;-0,173728843;-0,136621015;;
2546;1;-0,016277021;-0,17350541;-0,136445307;;
2547;1;-0,016251225;-0,173230442;-0,136229071;;
2548;1;-0,01621967;-0,172894085;-0,135964558;;
2549;1;-0,016183087;-0,172504125;-0,135657893;;
2550;1;-0,01613829;-0,172026603;-0,135282367;;
2551;1;-0,01609117;-0,17152433;-0,134887378;;
2552;1;-0,016039444;-0,170972957;-0,134453776;;
2553;1;-0,015984684;-0,170389241;-0,13399474;;
2554;1;-0,015925439;-0,169757716;-0,133498106;;
2555;1;-0,01586486;-0,169111975;-0,132990293;;
2556;1;-0,015799764;-0,168418076;-0,132444608;;
2557;1;-0,015732812;-0,167704406;-0,131883375;;
2558;1;-0,015664852;-0,166979984;-0,131313688;;
2559;1;-0,015592552;-0,1662093;-0,130707619;;
2560;1;-0,015520857;-0,165445059;-0,130106617;;
2561;1;-0,015444584;-0,164632024;-0,129467243;;
2562;1;-0,01536481;-0,163781674;-0,128798525;;
2563;1;-0,015280785;-0,162886003;-0,128094165;;
2564;1;-0,015197324;-0,16199635;-0,127394539;;
2565;1;-0,015109497;-0,161060156;-0,126658313;;
2566;1;-0,015020692;-0,160113538;-0,125913888;;
2567;1;-0,0149318;-0,159165985;-0,125168729;;
2568;1;-0,014838605;-0,158172572;-0,124387505;;
2569;1;-0,01474368;-0,15716072;-0,123591781;;
2570;1;-0,014644761;-0,156106288;-0,122762572;;
2571;1;-0,014547224;-0,155066586;-0,121944947;;
2572;1;-0,014445653;-0,153983887;-0,121093507;;
2573;1;-0,014343921;-0,152899478;-0,120240724;;
2574;1;-0,014242904;-0,151822684;-0,119393929;;
2575;1;-0,014137918;-0,150703575;-0,118513858;;
2576;1;-0,014032067;-0,149575255;-0,117626543;;
2577;1;-0,01392241;-0,14840637;-0,116707327;;
2578;1;-0,013813504;-0,147245475;-0,115794395;;
2579;1;-0,013700931;-0,146045504;-0,114850734;;
2580;1;-0,013589743;-0,144860293;-0,113918679;;
2581;1;-0,013479663;-0,14368689;-0,112995911;;
2582;1;-0,013366046;-0,142475782;-0,112043491;;
2583;1;-0,013253766;-0,141278936;-0,111102287;;
2584;1;-0,013138092;-0,140045898;-0,110132621;;
2585;1;-0,013025339;-0,138844004;-0,109187447;;
2586;1;-0,012909341;-0,137607529;-0,108215078;;
2587;1;-0,012797968;-0,136420341;-0,107281469;;
2588;1;-0,012692292;-0,135293888;-0,106395622;;
2589;1;-0,012583521;-0,134134432;-0,105483822;;
2590;1;-0,012480162;-0,133032674;-0,104617395;;
2591;1;-0,012373446;-0,131895136;-0,103722831;;
2592;1;-0,012267349;-0,130764187;-0,102833449;;
2593;1;-0,012158303;-0,129601816;-0,101919356;;
2594;1;-0,012055462;-0,128505571;-0,101057264;;
2595;1;-0,011962494;-0,127514576;-0,100277942;;
2596;1;-0,011866635;-0,126492766;-0,099474387;;
2597;1;-0,011774825;-0,125514113;-0,09870477;;
2598;1;-0,011679943;-0,124502719;-0,097909406;;
2599;1;-0,011585469;-0,123495674;-0,097117462;;
2600;1;-0,011488245;-0,122459304;-0,096302457;;
2601;1;-0,011395378;-0,121469386;-0,095523982;;
2602;1;-0,011299725;-0,120449768;-0,094722151;;
2603;1;-0,011207506;-0,119466763;-0,093949111;;
2604;1;-0,011115816;-0,118489388;-0,0931805;;
2605;1;-0,011021444;-0,117483423;-0,092389405;;
2606;2;-0,010929856;-0,116507141;-0,091621654;;
2607;2;-0,010835616;-0,115502586;-0,090831668;;
2608;2;-0,010744129;-0,114527378;-0,090064761;;
2609;2;-0,010650051;-0,113524553;-0,089276135;;
2610;2;-0,010558901;-0,112552934;-0,088512051;;
2611;2;-0,010466105;-0,111563777;-0,087734174;;
2612;2;-0,010370845;-0,110548345;-0,086935634;;
2613;2;-0,010278114;-0,109559873;-0,086158296;;
2614;2;-0,010182827;-0,108544161;-0,085359537;;
2615;2;-0,010088077;-0,107534175;-0,084565279;;
2616;2;-0,009990915;-0,106498467;-0,083750795;;
2617;2;-0,009896004;-0,105486766;-0,082955189;;
2618;2;-0,009810903;-0,104579627;-0,082241812;;
2619;2;-0,00972375;-0,103650622;-0,081511239;;
2620;2;-0,009641915;-0,102778291;-0,080825234;;
2621;2;-0,009557599;-0,101879525;-0,080118442;;
2622;2;-0,009472826;-0,100975887;-0,079407817;;
2623;2;-0,009384791;-0,100037471;-0,078669843;;
2624;2;-0,009287137;-0,098996524;-0,077851239;;
2625;2;-0,009182141;-0,09787732;-0,076971093;;
2626;2;-0,009074338;-0,096728192;-0,076067414;;
2627;2;-0,008960885;-0,095518835;-0,075116371;;
2628;2;-0,008845689;-0,094290901;-0,074150719;;
2629;2;-0,008737928;-0,093142218;-0,073247391;;
2630;2;-0,008628928;-0,091980332;-0,072333679;;
2631;2;-0,008533217;-0,090960095;-0,071531361;;
2632;2;-0,008415065;-0,089700645;-0,070540925;;
2633;2;-0,008296122;-0,088432767;-0,06954386;;
2634;2;-0,008197493;-0,08738143;-0,068717085;;
2635;2;-0,008096267;-0,086302407;-0,067868538;;
2636;2;-0,00799055;-0,08517552;-0,066982349;;
2637;2;-0,007881123;-0,084009079;-0,066065056;;
2638;2;-0,007750959;-0,082621589;-0,064973928;;
2639;2;-0,007617785;-0,081202016;-0,063857571;;
2640;2;-0,007471319;-0,079640763;-0,062629795;;
2641;2;-0,007313828;-0,077961973;-0,061309589;;
2642;2;-0,007153994;-0,076258222;-0,059969753;;
2643;2;-0,006988007;-0,074488875;-0,058578332;;
2644;2;-0,006819934;-0,072697297;-0,057169428;;
2645;2;-0,006648549;-0,070870415;-0,055732761;;
2646;2;-0,006475405;-0,069024784;-0,05428135;;
2647;2;-0,006302295;-0,067179513;-0,052830221;;
2648;2;-0,006121189;-0,065249002;-0,05131206;;
2649;2;-0,005938122;-0,063297597;-0,049777468;;
2650;2;-0,005751544;-0,061308759;-0,048213438;;
2651;2;-0,00556302;-0,059299188;-0,046633105;;
2652;2;-0,005370342;-0,057245329;-0,045017942;;
2653;2;-0,005176555;-0,055179653;-0,043393487;;
2654;2;-0,004990835;-0,053199957;-0,041836647;;
2655;2;-0,004812826;-0,051302467;-0,040344453;;
2656;2;-0,004632667;-0,049382061;-0,038834239;;
2657;2;-0,00444662;-0,047398885;-0,037274662;;
2658;2;-0,004258526;-0,045393886;-0,035697923;;
2659;2;-0,004065347;-0,043334689;-0,034078562;;
2660;2;-0,003870134;-0,041253815;-0,032442155;;
2661;2;-0,00366885;-0,039108219;-0,030754851;;
2662;2;-0,003462252;-0,036905987;-0,029023007;;
2663;2;-0,003253903;-0,03468508;-0,027276477;;
2664;2;-0,003042083;-0,032427179;-0,025500855;;
2665;2;-0,002828654;-0,030152123;-0,023711743;;
2666;2;-0,002613208;-0,027855572;-0,021905727;;
2667;2;-0,002395868;-0,02553883;-0,020083832;;
2668;2;-0,002172074;-0,023153292;-0,018207836;;
2669;2;-0,001944848;-0,020731165;-0,016303066;;
2670;2;-0,001716001;-0,018291769;-0,014384716;;
2671;2;-0,00148403;-0,015819063;-0,012440171;;
2672;2;-0,001250674;-0,013331595;-0,010484016;;
2673;2;-0,001017142;-0,010842261;-0,008526395;;
2674;2;-0,000782067;-0,008336464;-0,006555827;;
2675;2;-0,000544008;-0,00579887;-0,004560253;;
2676;2;-0,000304679;-0,003247737;-0,002554033;;
2677;2;-6,57E-05;-0,000700282;-0,000550704;;
2678;2;0,000170885;0,001821555;0,001432478;;
2679;2;0,00040862;0,004355694;0,003425334;;
2680;2;0,000645075;0,006876199;0,005407469;;
2681;2;0,000882729;0,009409483;0,007399653;;
2682;2;0,001120267;0,011941518;0,009390855;;
2683;2;0,001358854;0,014484749;0,011390861;;
2684;2;0,00159521;0,017004192;0,013372161;;
2685;2;0,001833056;0,019539521;0,015365953;;
2686;2;0,002072063;0,022087216;0,01736947;;
2687;2;0,002311414;0,024638585;0,019375876;;
2688;2;0,002551811;0,027201108;0,021391053;;
2689;2;0,002791255;0,029753467;0,023398238;;
2690;2;0,003031657;0,032316047;0,025413461;;
2691;2;0,00327068;0,034863913;0,027417112;;
2692;2;0,003510038;0,03741536;0,02942358;;
2693;2;0,003750464;0,039978187;0,031438997;;
2694;2;0,003992089;0,042553796;0,033464465;;
2695;2;0,00423478;0,045140767;0,035498869;;
2696;2;0,004479402;0,047748325;0,037549462;;
2697;2;0,004724762;0,050363746;0,039606239;;
2698;2;0,004967583;0,052952102;0,041641732;;
2699;2;0,0052069;0,055503116;0,043647859;;
2700;2;0,005446869;0,058061069;0,045659443;;
2701;2;0,005684063;0,060589446;0,047647768;;
2702;2;0,005921756;0,063123146;0,049640279;;
2703;2;0,006154837;0,065607673;0,051594121;;
2704;2;0,006388529;0,068098722;0,053553091;;
2705;2;0,006619541;0,070561203;0,055489595;;
2706;2;0,00685103;0,073028771;0,0574301;;
2707;2;0,00707794;0,075447524;0,059332216;;
2708;2;0,007301056;0,077825834;0,061202528;;
2709;2;0,007524735;0,080210145;0,06307756;;
2710;2;0,00774605;0,082569258;0,064932775;;
2711;2;0,007967626;0,08493116;0,066790184;;
2712;2;0,00818273;0,087224062;0,06859333;;
2713;2;0,008398359;0,089522574;0,070400889;;
2714;2;0,008611039;0,091789642;0,072183719;;
2715;2;0,00882048;0,094022185;0,0739394;;
2716;2;0,009030402;0,096259852;0,07569911;;
2717;2;0,009237271;0,098464976;0,077433228;;
2718;2;0,009444452;0,100673431;0,079169965;;
2719;2;0,009646192;0,10282388;0,080861086;;
2720;2;0,009848547;0,104980895;0,08255737;;
2721;2;0,010049451;0,107122441;0,08424149;;
2722;2;0,010246042;0,109218009;0,085889453;;
2723;2;0,010443143;0,111319009;0,087541687;;
2724;2;0,010637462;0,113390364;0,089170609;;
2725;2;0,010832343;0,115467699;0,090804232;;
2726;2;0,011025278;0,117524295;0,092421547;;
2727;2;0,011218932;0,119588558;0,094044892;;
2728;2;0,01141277;0,121654782;0,095669778;;
2729;2;0,011603605;0,123688989;0,097269486;;
2730;2;0,01179512;0,12573045;0,098874899;;
2731;2;0,011986058;0,12776576;0,100475474;;
2732;2;0,01217759;0,1298074;0,102081028;;
2733;2;0,012367275;0,13182936;0,103671105;;
2734;2;0,012557617;0,133858313;0,10526668;;
2735;2;0,012746739;0,135874258;0,106852028;;
2736;2;0,0129338;0,137868248;0,108420109;;
2737;2;0,01312169;0,139871062;0,109995129;;
2738;2;0,013310227;0,141880785;0,111575583;;
2739;2;0,013499807;0,14390162;0,113164775;;
2740;2;0,013693216;0,145963267;0,114786062;;
2741;2;0,013887541;0,148034682;0,11641503;;
2742;2;0,014084394;0,15013304;0,118065187;;
2743;2;0,014281943;0,15223882;0,11972118;;
2744;2;0,01447918;0,154341273;0,121374557;;
2745;2;0,014674968;0,156428282;0,123015789;;
2746;2;0,014871571;0,158523976;0,124663851;;
2747;2;0,015070156;0,160640795;0,126328525;;
2748;2;0,015269141;0,162761888;0,127996561;;
2749;2;0,01546423;0,164841441;0,129631929;;
2750;2;0,015659926;0,166927476;0,131272395;;
2751;2;0,015855229;0,169009311;0,132909558;;
2752;2;0,016056457;0,171154302;0,134596387;;
2753;2;0,016257918;0,173301785;0,136285175;;
2754;2;0,016454527;0,175397546;0,137933289;;
2755;2;0,016651549;0,177497713;0,139584869;;
2756;2;0,016846473;0,179575511;0,141218857;;
2757;2;0,017041698;0,181656511;0,142855363;;
2758;2;0,01723398;0,183706147;0,144467205;;
2759;2;0,017425955;0,185752512;0,146076474;;
2760;2;0,017618385;0,187803722;0,147689553;;
2761;2;0,017811655;0,189863898;0,149309683;;
2762;2;0,018004682;0,191921468;0,150927764;;
2763;2;0,018188888;0,193885023;0,152471911;;
2764;2;0,018372515;0,195842398;0,154011198;;
2765;2;0,018542052;0,197649585;0,155432377;;
2766;2;0,01870333;0,199368727;0,156784316;;
2767;2;0,018864147;0,201082967;0,158132401;;
2768;2;0,019011946;0,202658433;0,159371354;;
2769;2;0,019159687;0,204233282;0,160609821;;
2770;2;0,019299713;0,205725899;0,16178362;;
2771;2;0,01944033;0,207224809;0,162962369;;
2772;2;0,019581986;0,208734788;0,164149822;;
2773;2;0,019719162;0,210197019;0,165299726;;
2774;2;0,019856287;0,211658708;0,166449204;;
2775;2;0,019985108;0,213031886;0,167529076;;
2776;2;0,020113694;0,214402547;0,168606969;;
2777;2;0,020231609;0,21565947;0,169595418;;
2778;2;0,020349335;0,216914369;0,170582276;;
2779;2;0,020456077;0,218052198;0,171477069;;
2780;2;0,02056313;0,219193329;0,172374458;;
2781;2;0,020665658;0,220286233;0,173233922;;
2782;2;0,020763173;0,221325691;0,174051355;;
2783;2;0,020860676;0,222365034;0,174868699;;
2784;2;0,020948719;0,22330353;0,175606736;;
2785;2;0,021036665;0,224240985;0,176343954;;
2786;2;0,021113708;0,225062234;0,176989787;;
2787;2;0,021191025;0,225886389;0,177637906;;
2788;2;0,021261539;0,226638041;0,178229008;;
2789;2;0,021324412;0,22730824;0,178756055;;
2790;2;0,021387438;0,227980069;0,179284384;;
2791;2;0,021441676;0,228558215;0,179739039;;
2792;2;0,021496259;0,229140049;0,180196596;;
2793;2;0,021544672;0,229656102;0,180602422;;
2794;2;0,021593486;0,230176438;0,181011616;;
2795;2;0,021636367;0,230633531;0,181371076;;
2796;2;0,021672454;0,231018207;0,181673586;;
2797;2;0,021708813;0,23140577;0,181978367;;
2798;3;0,021738422;0,231721388;0,182226571;;
2799;3;0,021768398;0,232040925;0,182477856;;
2800;3;0,02179274;0,232300391;0,182681901;;
2801;3;0,021817476;0,232564069;0,182889259;;
2802;3;0,0218363;0,232764722;0,183047052;;
2803;3;0,021851231;0,232923878;0,183172213;;
2804;3;0,021866599;0,233087696;0,183301041;;
2805;3;0,021876899;0,233197485;0,183387379;;
2806;3;0,021887669;0,233312287;0,18347766;;
2807;3;0,021893707;0,233376652;0,183528277;;
2808;3;0,021900066;0,233444436;0,183581583;;
2809;3;0,021899009;0,233433171;0,183572723;;
2810;3;0,021892914;0,233368205;0,183521634;;
2811;3;0,021887119;0,233306432;0,183473055;;
2812;3;0,021873874;0,23316524;0,183362022;;
2813;3;0,021861028;0,233028312;0,183254341;;
2814;3;0,021842365;0,23282937;0,183097892;;
2815;3;0,02182409;0,232634567;0,182944699;;
2816;3;0,021799675;0,232374314;0,182740035;;
2817;3;0,021775645;0,232118172;0,182538603;;
2818;3;0,02174487;0,23179012;0,182280622;;
2819;3;0,021709477;0,23141285;0,181983936;;
2820;3;0,021674677;0,231041902;0,18169222;;
2821;3;0,02163619;0,230631645;0,181369593;;
2822;3;0,021598285;0,23022759;0,181051842;;
2823;3;0,021556537;0,229782583;0,180701887;;
2824;3;0,021515425;0,229344344;0,180357255;;
2825;3;0,021470832;0,228869008;0,179983449;;
2826;3;0,021423404;0,228363448;0,179585874;;
2827;3;0,02137664;0,227864962;0,179193863;;
2828;3;0,021326553;0,227331062;0,178774002;;
2829;3;0,021277208;0,226805069;0,178360359;;
2830;3;0,021225478;0,226253644;0,177926717;;
2831;3;0,02117457;0,225710992;0,177499973;;
2832;3;0,021122016;0,225150792;0,17705943;;
2833;3;0,021065843;0,224552009;0,176588544;;
2834;3;0,021010463;0,223961687;0,176124313;;
2835;3;0,020953004;0,223349197;0,175642648;;
2836;3;0,020896332;0,222745104;0,175167587;;
2837;3;0,02083742;0,222117126;0,174673743;;
2838;3;0,020779306;0,221497663;0,174186595;;
2839;3;0,020718629;0,220850872;0,173677956;;
2840;3;0,020654786;0,220170334;0,173142779;;
2841;3;0,020591684;0,2194977;0,172613817;;
2842;3;0,020525188;0,218788879;0,172056397;;
2843;3;0,020459555;0,218089265;0,171506218;;
2844;3;0,020392101;0,217370235;0,17094077;;
2845;3;0,020325537;0,216660703;0,170382792;;
2846;3;0,020257134;0,215931554;0,169809386;;
2847;3;0,020185953;0,215172798;0,169212698;;
2848;3;0,020115531;0,214422136;0,168622374;;
2849;3;0,020041251;0,213630345;0,167999706;;
2850;3;0,019967808;0,212847469;0,16738405;;
2851;3;0,01989161;0,212035239;0,166745309;;
2852;3;0,01981628;0,211232256;0,16611384;;
2853;3;0,019738695;0,210405236;0,165463469;;
2854;3;0,019661897;0,20958661;0,164819698;;
2855;3;0,019581241;0,208726852;0,164143582;;
2856;3;0,019494765;0,207805055;0,163418677;;
2857;3;0,019408892;0,206889691;0,162698831;;
2858;3;0,019317088;0,205911104;0,161929266;;
2859;3;0,019225835;0,204938391;0,161164321;;
2860;3;0,019128149;0,203897103;0,160345448;;
2861;3;0,019030965;0,202861162;0,15953078;;
2862;3;0,018926155;0,201743943;0,158652195;;
2863;3;0,018812783;0,200535447;0,15770183;;
2864;3;0,018699789;0,199330988;0,156754639;;
2865;3;0,018578267;0,198035616;0,155735953;;
2866;3;0,018457162;0,196744701;0,154720772;;
2867;3;0,018328265;0,195370711;0,153640262;;
2868;3;0,018199782;0,19400115;0,152563234;;
2869;3;0,018062876;0,192541795;0,151415591;;
2870;3;0,017917269;0,190989689;0,15019501;;
2871;3;0,017772073;0,189441973;0,14897788;;
2872;3;0,017619333;0,187813837;0,147697507;;
2873;3;0,017467018;0,186190228;0,146420696;;
2874;3;0,017307453;0,184489336;0,145083107;;
2875;3;0,017148102;0,182790732;0,143747319;;
2876;3;0,016977902;0,180976477;0,142320582;;
2877;3;0,0167999;0,179079063;0,140828448;;
2878;3;0,016622033;0,177183078;0,139337439;;
2879;3;0,016433239;0,175170625;0,137754838;;
2880;3;0,016244679;0,173160669;0,136174201;;
2881;3;0,016046941;0,171052868;0,134516619;;
2882;3;0,015849393;0,168947103;0,132860637;;
2883;3;0,015642056;0,166736985;0,131122592;;
2884;3;0,015434922;0,164529036;0,129386253;;
2885;3;0,015217513;0,16221156;0,127563781;;
2886;3;0,01498904;0,159776138;0,125648556;;
2887;3;0,014760769;0,157342881;0,123735033;;
2888;3;0,014523077;0,15480919;0,121742529;;
2889;3;0,014285715;0,152279025;0,119752798;;
2890;3;0,014040935;0,149669789;0,117700885;;
2891;3;0,013796406;0,147063225;0,115651073;;
2892;3;0,013542545;0,144357178;0,113523028;;
2893;3;0,013279937;0,1415579;0,111321665;;
2894;3;0,013017675;0,138762315;0,109123206;;
2895;3;0,012748223;0,135890079;0,106864469;;
2896;3;0,012479077;0,13302111;0,104608301;;
2897;3;0,012201799;0,130065456;0,102283964;;
2898;3;0,011924913;0,127113985;0,099962916;;
2899;3;0,011640486;0,124082126;0,097578651;;
2900;3;0,011348001;0,120964372;0,095126837;;
2901;3;0,011055854;0,117850226;0,092677861;;
2902;3;0,01075586;0,114652429;0,090163102;;
2903;3;0,010456298;0,111459236;0,087651962;;
2904;3;0,010150254;0,108196945;0,085086484;;
2905;3;0,00984454;0,104938177;0,082523777;;
2906;3;0,009529722;0,10158237;0,079884758;;
2907;3;0,00920577;0,098129197;0,07716917;;
2908;3;0,008882332;0,094681496;0,074457885;;
2909;3;0,008553081;0,091171831;0,071697871;;
2910;3;0,008224086;0,087664897;0,068940005;;
2911;3;0,00788501;0,084050507;0,066097635;;
2912;3;0,007546381;0,08044088;0,06325901;;
2913;3;0,007199631;0,076744687;0,06035231;;
2914;3;0,006845187;0,07296649;0,057381122;;
2915;3;0,006491291;0,069194119;0,054414515;;
2916;3;0,006130572;0,06534902;0,051390715;;
2917;3;0,005770335;0,061509066;0,048370961;;
2918;3;0,005401719;0,057579796;0,045280968;;
2919;3;0,005033719;0,05365709;0,042196137;;
2920;3;0,004658948;0,049662197;0,039054539;;
2921;3;0,004284798;0,045673938;0,035918156;;
2922;3;0,003902456;0,041598351;0,0327131;;
2923;3;0,003512286;0,037439324;0,029442425;;
2924;3;0,003123051;0,033290259;0,026179585;;
2925;3;0,002729441;0,029094565;0,022880076;;
2926;3;0,002336706;0,024908196;0,019587899;;
2927;3;0,001937794;0,020655971;0,016243933;;
2928;3;0,001539784;0,016413376;0,01290754;;
2929;3;0,001134186;0,012089895;0,009507539;;
2930;3;0,000721738;0,007693384;0,006050106;;
2931;3;0,000310342;0,003308105;0,002601506;;
2932;3;-0,000107793;-0,001149021;-0,000903595;;
2933;3;-0,000524742;-0,005593504;-0,004398752;;
2934;3;-0,000947735;-0,010102406;-0,00794457;;
2935;3;-0,001369445;-0,014597637;-0,011479636;;
2936;3;-0,001797747;-0,019163139;-0,015069964;;
2937;3;-0,002234886;-0,023822837;-0,018734368;;
2938;3;-0,002670753;-0,028468975;-0,022388109;;
2939;3;-0,003114916;-0,03320354;-0,026111388;;
2940;3;-0,003557547;-0,037921781;-0,029821831;;
2941;3;-0,004006374;-0,042706067;-0,033584212;;
2942;3;-0,004453588;-0,047473166;-0,037333076;;
2943;3;-0,004908208;-0,052319199;-0,041144015;;
2944;3;-0,005369139;-0,057232505;-0,045007857;;
2945;3;-0,005828234;-0,062126247;-0,048856314;;
2946;3;-0,006294453;-0,067095915;-0,05276448;;
2947;3;-0,006758696;-0,072044535;-0,056656093;;
2948;3;-0,007230335;-0,077071987;-0,060609701;;
2949;3;-0,007699564;-0,082073738;-0,064543097;;
2950;3;-0,008173135;-0,087121791;-0,068512904;;
2951;3;-0,0086527;-0,092233726;-0,072532949;;
2952;3;-0,00912944;-0,097315554;-0,076529318;;
2953;3;-0,009608607;-0,102423249;-0,080546028;;
2954;3;-0,01008496;-0,107500943;-0,084539146;;
2955;3;-0,010566867;-0,11263785;-0,088578829;;
2956;3;-0,011045522;-0,117740092;-0,092591251;;
2957;3;-0,011526994;-0,12287235;-0,096627278;;
2958;3;-0,012004966;-0,127967306;-0,10063397;;
2959;3;-0,012486285;-0,133097947;-0,104668726;;
2960;3;-0,012969366;-0,138247361;-0,108718244;;
2961;3;-0,013448286;-0,143352422;-0,112732884;;
2962;3;-0,01392784;-0,148464251;-0,116752845;;
2963;3;-0,014402842;-0,15352755;-0,120734643;;
2964;3;-0,014877702;-0,158589331;-0,124715246;;
2965;3;-0,015347757;-0,1635999;-0,128655577;;
2966;3;-0,015819184;-0,168625088;-0,132607403;;
2967;3;-0,016292698;-0,173672525;-0,136576727;;
2968;3;-0,016760694;-0,178661144;-0,140499795;;
2969;3;-0,017228312;-0,183645736;-0,144419697;;
2970;3;-0,017690045;-0,188567583;-0,148290257;;
2971;3;-0,018151425;-0,193485686;-0,152157871;;
2972;3;-0,01860648;-0,198336358;-0,155972458;;
2973;3;-0,019061191;-0,203183367;-0,159784164;;
2974;3;-0,019515406;-0,208025077;-0,163591703;;
2975;3;-0,019962399;-0,212789816;-0,167338712;;
2976;3;-0,020407139;-0,217530541;-0,171066835;;
2977;3;-0,020844244;-0,222189872;-0,174730951;;
2978;3;-0,021279863;-0,226833369;-0,178382614;;
2979;3;-0,021707313;-0,231389786;-0,181965798;;
2980;3;-0,022133021;-0,23592763;-0,185534375;;
2981;3;-0,02255669;-0,240443745;-0,189085865;;
2982;3;-0,022971271;-0,24486298;-0,192561168;;
2983;3;-0,023384501;-0,249267822;-0,196025152;;
2984;3;-0,02378807;-0,253569672;-0,199408144;;
2985;3;-0,024189157;-0,257845072;-0,202770334;;
2986;4;-0,024585584;-0,262070806;-0,206093467;;
2987;4;-0,024979427;-0,266268983;-0,20939493;;
2988;4;-0,025368899;-0,270420577;-0,212659759;;
2989;4;-0,025747176;-0,274452827;-0,215830735;;
2990;4;-0,026122638;-0,278455077;-0,21897812;;
2991;4;-0,02648607;-0,282329092;-0,222024659;;
2992;4;-0,026843445;-0,286138544;-0,225020427;;
2993;4;-0,027187972;-0,289811042;-0,227908493;;
2994;4;-0,027524308;-0,293396217;-0,230727889;;
2995;4;-0,027846869;-0,296834572;-0,233431824;;
