SequenceNumber;SwingPhase;StickGlovePlane_X;StickGlovePlane_Y;StickGlovePlane_Z;FilterItem;FilterValue
2063;1;-0,008651653;-0,09222257;-0,072524176;;
2064;1;-0,008583561;-0,091496739;-0,071953379;;
2065;1;-0,008511249;-0,090725928;-0,071347211;;
2066;1;-0,008439021;-0,089956004;-0,07074174;;
2067;1;-0,008369542;-0,089215394;-0,070159321;;
2068;1;-0,008300092;-0,088475087;-0,069577141;;
2069;1;-0,008232362;-0,087753125;-0,069009387;;
2070;1;-0,008167273;-0,087059301;-0,068463762;;
2071;1;-0,008102036;-0,086363904;-0,067916899;;
2072;1;-0,008035497;-0,085654633;-0,067359125;;
2073;1;-0,00796917;-0,084947614;-0,066803123;;
2074;1;-0,007906749;-0,084282243;-0,066279873;;
2075;1;-0,007844803;-0,083621926;-0,065760597;;
2076;1;-0,007790797;-0,083046247;-0,065307881;;
2077;1;-0,007740876;-0,082514114;-0,06488941;;
2078;1;-0,007690948;-0,081981897;-0,064470872;;
2079;1;-0,007641497;-0,081454771;-0,064056339;;
2080;1;-0,007592496;-0,08093245;-0,063645583;;
2081;1;-0,007550834;-0,080488348;-0,063296339;;
2082;1;-0,007509323;-0,08004586;-0,062948365;;
2083;1;-0,007470945;-0,07963677;-0,062626656;;
2084;1;-0,007433373;-0,079236268;-0,062311699;;
2085;1;-0,007396028;-0,078838189;-0,061998648;;
2086;1;-0,007363269;-0,078488994;-0,06172404;;
2087;1;-0,007330536;-0,078140076;-0,06144965;;
2088;1;-0,007299624;-0,077810567;-0,061190523;;
2089;1;-0,007268894;-0,077483;-0,060932923;;
2090;1;-0,007242349;-0,077200049;-0,060710409;;
2091;1;-0,007217448;-0,076934616;-0,060501671;;
2092;1;-0,007192429;-0,076667918;-0,060291939;;
2093;1;-0,007167299;-0,076400046;-0,060081283;;
2094;1;-0,007142286;-0,076133419;-0,059871607;;
2095;1;-0,007120905;-0,07590551;-0,059692378;;
2096;1;-0,007099289;-0,075675096;-0,05951118;;
2097;1;-0,007076298;-0,075430017;-0,059318449;;
2098;1;-0,007054193;-0,075194395;-0,059133155;;
2099;1;-0,00703175;-0,074955155;-0,058945016;;
2100;1;-0,007007128;-0,074692699;-0,058738619;;
2101;1;-0,00698213;-0,074426237;-0,058529072;;
2102;1;-0,006954575;-0,074132506;-0,058298081;;
2103;1;-0,006926889;-0,073837394;-0,058066004;;
2104;1;-0,00690036;-0,073554608;-0,05784362;;
2105;1;-0,006873719;-0,073270618;-0,05762029;;
2106;1;-0,00684799;-0,072996367;-0,057404618;;
2107;1;-0,006815355;-0,072648486;-0,057131043;;
2108;1;-0,006782443;-0,072297664;-0,056855155;;
2109;1;-0,006748672;-0,071937684;-0,056572065;;
2110;1;-0,006714678;-0,071575317;-0,056287099;;
2111;1;-0,006680711;-0,07121325;-0,056002368;;
2112;1;-0,006646274;-0,070846166;-0,055713691;;
